,radius,thickness,npanels,theta,length
96,204.23,7.49,82.51,34.97,21.55
97,220.21,13.25,6.51,14.42,19.18
98,144.53,10.65,183.72,56.02,3.37
99,228.28,6.64,98.28,67.81,10.66
100,224.75,10.41,103.93,52.51,5.64
101,253.32,13.43,202.75,51.47,3.3
102,190.58,6.08,58.93,48.58,9.01
103,127.29,17.22,79.05,10.47,9.17
104,245.35,10.03,50.24,14.23,16.38
105,244.96,14.61,16.7,4.22,41.87
106,186.92,5.14,21.04,28.67,27.39
107,189.43,15.54,80.78,86.14,2.29
108,146.21,6.88,114.22,38.23,6.37
109,181.3,6.37,61.33,77.2,6.2
110,138.31,18.04,142.9,19.04,4.22
111,126.72,7.23,5.38,8.08,54.65
112,251.76,5.94,76.14,11.14,26.2
113,157.98,18.42,197.33,6.68,5.14
114,249.68,12.64,215.5,12.69,3.2
115,207.05,11.24,28.08,11.91,38.32
116,188.52,7.73,32.05,3.46,49.9
117,220.44,10.18,291.11,4.6,3.93
118,159.63,12.63,38.3,5.26,11.62
119,206.23,7.97,13.96,8.91,14.37
120,137.93,13.72,129.55,72.04,5.84
121,225.88,8.69,45.68,8.09,28.4
122,180.85,12.19,23.6,6.0,41.66
123,218.04,8.23,177.31,82.13,6.13
124,235.51,5.41,48.24,80.92,8.11
125,145.81,7.34,93.63,56.01,14.8
126,126.85,7.6,255.36,63.13,3.39
127,134.32,5.7,151.5,20.47,3.06
128,138.84,9.16,45.25,42.87,6.49
129,195.36,7.41,10.62,27.27,19.6
130,220.45,5.24,77.17,84.63,12.98
131,252.97,13.57,37.19,11.08,25.63
132,213.41,6.97,156.82,7.46,2.35
133,225.2,12.18,71.7,36.46,2.84
134,127.83,9.93,30.37,9.0,39.38
135,107.81,8.51,155.71,57.04,3.33
136,122.62,15.64,250.65,64.86,3.67
137,170.82,6.94,32.98,19.17,26.13
138,147.6,7.58,37.88,69.13,6.89
139,176.16,12.49,252.01,78.64,5.44
140,234.74,10.99,327.39,71.98,7.13
141,183.04,9.9,67.93,39.58,4.97
142,164.57,9.99,80.6,4.45,8.18
143,174.22,11.77,7.57,56.5,2.1
144,97.87,11.06,279.83,36.15,2.41
145,177.98,16.48,144.73,83.51,2.96
146,240.84,14.78,129.95,46.95,5.8
147,210.75,16.93,179.59,21.62,6.44
148,185.62,7.86,56.59,32.67,9.61
149,199.7,8.44,16.39,2.7,33.73
150,238.76,13.84,116.45,26.55,13.34
151,148.72,6.4,76.02,1.41,7.08
152,205.71,7.47,272.36,87.79,11.26
153,215.57,11.03,66.92,28.15,11.26
154,221.81,5.74,117.04,27.39,12.2
155,236.01,10.79,90.0,83.34,5.85
156,220.42,6.16,174.04,35.17,9.96
157,226.18,17.8,215.25,6.05,3.95
158,224.8,15.99,203.28,30.77,2.02
159,119.97,9.97,106.89,82.83,8.41
160,239.41,6.91,63.78,52.02,3.41
161,211.19,11.27,45.92,9.13,15.64
162,238.15,19.25,38.03,3.23,3.92
163,250.21,5.11,65.64,26.52,27.37
164,216.95,16.09,33.61,17.98,7.8
165,231.03,7.13,317.94,61.47,4.06
166,158.01,5.35,262.36,29.78,3.58
167,185.31,13.3,237.35,36.49,3.9
168,214.0,10.9,68.67,53.05,5.67
169,212.62,9.89,164.92,61.31,7.73
170,205.68,8.66,202.9,79.76,3.42
171,258.39,11.76,249.51,36.99,2.4
172,207.32,11.53,275.95,67.54,5.16
173,128.03,5.43,53.72,51.62,4.92
174,167.64,12.87,60.03,32.4,6.18
175,184.85,6.41,138.37,44.06,15.69
176,174.35,14.76,337.74,74.22,3.58
177,224.5,12.83,66.64,10.91,6.33
178,227.9,17.38,47.04,4.21,27.41
179,207.38,17.09,185.48,34.91,2.76
180,242.79,8.6,42.69,9.47,39.05
181,149.2,10.33,12.4,47.74,4.14
182,220.6,10.36,101.02,27.82,11.12
183,227.76,10.94,140.83,33.79,13.62
184,241.6,5.56,14.35,3.99,66.65
185,102.27,5.94,86.3,31.83,20.77
186,228.07,7.56,255.58,16.29,2.28
187,254.76,6.94,323.73,21.75,5.58
188,136.09,7.05,47.6,14.63,6.02
189,145.42,17.73,259.57,15.9,3.3
190,149.37,6.08,9.13,30.32,21.89
191,127.19,12.33,116.64,31.45,4.68
192,254.83,6.07,18.79,65.36,4.99
193,163.58,7.81,202.63,1.31,2.9
194,254.56,11.38,170.15,4.66,6.2
195,226.07,14.45,116.38,51.46,4.07
196,189.9,5.22,256.66,72.29,3.58
197,257.94,6.12,153.23,62.63,8.43
198,107.37,7.14,5.84,15.3,4.38
199,208.36,6.62,68.63,28.75,16.29
200,240.97,10.4,158.29,83.94,6.38
201,104.72,7.26,83.3,77.35,6.66
202,235.96,5.92,74.32,35.98,20.24
203,234.95,7.53,188.0,77.29,6.25
204,126.35,12.6,163.28,19.28,4.48
205,244.33,5.68,251.54,10.69,4.72
206,167.58,12.84,203.6,18.92,5.01
207,160.0,13.46,215.0,85.83,4.08
208,255.62,7.84,162.9,57.51,10.45
209,163.72,12.08,13.45,72.69,2.68
210,181.93,12.31,118.56,13.75,3.64
211,242.56,7.03,11.59,70.13,11.8
212,229.99,13.74,115.01,56.82,3.29
213,202.06,10.7,291.97,17.2,3.03
214,100.71,6.35,40.45,76.39,12.1
215,244.03,5.1,9.78,14.84,40.63
216,198.92,6.05,87.76,33.39,20.58
217,235.81,8.26,319.46,36.75,5.0
218,130.8,10.93,132.16,38.66,4.11
219,193.39,7.16,24.59,3.95,12.61
220,119.25,9.87,31.23,3.34,10.89
221,161.61,8.12,21.72,60.49,3.67
222,255.0,16.76,229.73,26.46,2.16
223,136.17,16.62,64.46,24.54,8.01
224,120.3,6.92,177.33,1.02,2.96
225,210.42,7.19,9.06,48.31,14.71
226,235.99,11.47,48.66,63.81,4.94
227,139.72,6.11,218.52,88.72,5.79
228,131.02,6.98,93.8,24.24,6.91
229,196.62,6.63,123.29,42.27,6.85
230,170.6,12.59,114.97,60.18,2.76
231,173.03,10.48,58.74,11.3,10.74
232,243.55,5.28,101.39,13.15,9.16
233,147.96,7.56,50.0,20.0,30.91
234,166.58,7.26,18.2,2.9,115.19
235,212.63,11.43,254.46,47.59,7.01
236,223.05,5.84,125.88,31.62,3.71
237,219.24,17.48,9.03,24.9,2.09
238,183.31,13.14,12.24,8.71,32.19
239,229.24,11.71,109.29,25.72,4.72
240,142.96,8.81,98.18,70.04,6.84
241,215.92,7.92,32.05,23.79,6.64
242,177.46,5.6,136.1,27.54,15.46
243,109.33,11.47,141.59,66.81,5.86
244,157.99,7.16,224.44,80.19,5.6
245,174.17,8.32,17.79,1.0,73.16
246,138.56,5.31,15.65,53.07,17.64
247,238.35,10.35,34.84,5.25,42.88
248,190.54,7.8,77.29,2.39,7.72
249,253.89,7.62,261.42,60.44,11.47
250,248.61,5.67,72.67,10.26,28.91
251,125.41,5.99,14.96,84.16,7.18
252,157.96,13.91,213.62,60.11,4.4
253,177.11,10.65,8.11,4.64,66.86
254,141.95,9.44,4.95,6.49,12.39
255,176.44,7.94,34.85,10.38,26.83
256,171.91,5.92,219.23,49.18,6.03
257,128.95,8.54,178.39,44.39,2.17
258,241.88,5.25,134.59,25.02,7.33
259,132.9,11.68,22.56,3.45,17.54
260,118.21,6.03,60.74,21.76,36.49
261,243.49,12.36,8.31,51.98,4.32
262,174.88,5.92,193.8,85.59,11.86
263,135.7,15.51,38.84,71.73,4.35
264,160.18,5.71,81.7,20.2,12.67
265,99.75,10.17,33.79,22.88,21.32
266,101.79,6.06,84.88,79.42,3.27
267,239.57,17.84,309.39,19.24,3.14
268,252.75,16.02,64.61,89.61,2.83
269,248.01,13.61,181.71,13.94,4.68
270,227.53,7.81,349.76,47.0,6.24
271,213.13,6.36,112.72,69.59,12.49
272,235.67,13.29,293.08,13.42,4.93
273,246.71,9.79,145.81,11.07,4.84
274,227.05,8.2,141.65,20.64,8.22
275,111.23,7.6,131.91,10.13,5.02
276,132.52,7.42,331.33,76.79,3.53
277,255.09,5.72,33.82,49.07,12.36
278,218.81,12.68,51.47,65.97,2.5
279,247.7,18.49,83.32,5.94,4.13
280,209.09,5.28,112.54,34.35,26.07
281,169.25,14.24,205.2,35.44,4.07
282,206.41,11.93,46.76,76.09,4.06
283,206.59,11.37,62.72,20.46,19.49
284,206.59,6.09,52.61,21.26,35.09
285,177.33,15.2,338.75,16.66,3.29
286,133.1,6.89,6.1,52.58,11.21
287,216.96,17.08,175.26,12.2,6.56
288,233.09,8.94,39.17,14.97,35.05
289,209.76,16.12,312.87,50.63,3.0
290,147.68,5.12,40.87,30.96,26.68
291,236.92,7.85,264.04,89.13,9.84
292,182.21,5.31,162.28,54.61,17.2
293,141.39,14.58,51.71,30.8,10.1
294,159.1,10.83,167.08,3.97,4.9
295,101.78,12.95,169.67,48.35,3.75
296,100.67,10.52,34.91,31.84,13.05
297,173.46,14.9,267.43,57.23,3.17
298,235.77,5.0,266.51,40.64,3.4
299,229.26,6.51,235.11,54.34,7.16
