,mode,radius,thickness,npanels,theta,length,nC_Ge77[cts],production
37,0.0,222.3,8.3,11.0,76.2,2.0,74.0,0.4332464122576724
38,0.0,111.9,5.6,127.0,77.1,9.4,58.0,0.3424390651161899
39,0.0,137.4,16.9,49.0,11.7,14.8,44.0,0.26514851905962195
40,0.0,182.0,12.0,30.0,18.4,23.8,52.0,0.3155352380975288
41,0.0,118.9,14.5,96.0,85.2,2.7,82.0,0.4827334337561258
42,0.0,242.6,17.5,41.0,3.7,16.8,68.0,0.41002231777372755
43,0.0,191.0,8.2,7.0,10.4,15.1,90.0,0.53330452158591
44,0.0,250.7,6.1,91.0,68.3,9.0,66.0,0.3944102522262474
45,0.0,201.3,9.6,16.0,18.4,5.9,84.0,0.5072930844297455
46,0.0,220.0,5.9,131.0,14.8,15.3,86.0,0.5098812750657624
47,0.0,128.3,6.2,27.0,51.6,3.4,68.0,0.400292848637244
48,0.0,234.4,9.6,89.0,74.9,10.4,58.0,0.3536160408460594
49,0.0,197.6,9.0,64.0,8.7,2.9,66.0,0.3960595892789712
50,0.0,118.6,15.8,25.0,3.2,11.1,56.0,0.33348105451983834
51,0.0,208.2,7.9,25.0,25.3,20.5,56.0,0.3281839422945272
52,0.0,99.3,9.1,12.0,23.1,26.3,72.0,0.4251644218149192
53,0.0,133.6,10.5,263.0,11.0,3.2,54.0,0.32468638031401864
54,0.0,203.1,7.4,35.0,4.2,22.4,40.0,0.242289225946268
55,0.0,116.1,5.3,158.0,67.3,9.6,52.0,0.30310771214096877
56,0.0,251.4,11.8,24.0,6.3,15.3,64.0,0.3913084212966337
57,0.0,157.0,6.2,57.0,78.5,2.7,60.0,0.35156219429449204
58,0.0,182.1,5.6,94.0,76.9,11.5,58.0,0.3452248770466648
59,0.0,203.7,16.5,38.0,2.9,32.7,64.0,0.3943485842243776
60,0.0,175.4,5.9,312.0,14.2,3.6,50.0,0.29755651143283496
61,0.0,246.3,11.4,91.0,3.2,16.8,58.0,0.35847116174001104
62,0.0,214.8,8.2,107.0,23.9,20.1,54.0,0.3259578256034814
63,0.0,104.2,13.2,76.0,6.6,6.1,42.0,0.24982726402345737
64,0.0,248.9,14.4,16.0,15.4,8.9,58.0,0.3529532489603114
65,0.0,192.0,6.2,257.0,29.1,5.1,40.0,0.24110004532602003
66,0.0,199.8,10.3,13.0,75.1,5.3,64.0,0.3837386145825664
67,0.0,241.6,9.0,83.0,24.8,21.8,42.0,0.2561239023501396
68,0.0,234.4,8.4,75.0,44.0,3.5,52.0,0.309161263056412
69,0.0,194.1,6.1,291.0,69.5,4.6,30.0,0.179498332543779
70,0.0,161.8,6.2,125.0,57.7,13.0,52.0,0.31206857900058876
71,0.0,181.2,10.6,22.0,31.7,11.8,68.0,0.40336449997536084
72,0.0,102.5,7.4,31.0,77.6,10.1,50.0,0.29429629245240996
73,0.0,178.4,11.2,192.0,54.0,2.3,38.0,0.2283561379744002
74,0.0,194.5,10.8,149.0,6.1,7.2,58.0,0.34716206323740395
75,0.0,236.8,6.0,251.0,39.9,13.2,42.0,0.2553774214211766
76,0.0,202.0,11.4,185.0,45.4,4.6,32.0,0.1949955195380864
77,0.0,107.2,7.0,11.0,9.8,15.9,88.0,0.5206574700914751
78,0.0,214.0,10.0,277.0,77.5,7.4,62.0,0.37577176262846657
79,0.0,143.7,5.2,61.0,22.9,3.4,72.0,0.4241519074571615
80,0.0,235.1,17.6,22.0,0.7,10.7,70.0,0.418492030660956
81,0.0,243.6,8.6,19.0,64.9,3.1,56.0,0.33327474685725356
82,0.0,244.6,10.7,333.0,57.7,2.2,62.0,0.3772948523368845
83,0.0,170.5,10.4,93.0,79.9,9.1,46.0,0.2731449322428604
84,0.0,235.8,9.0,161.0,80.3,8.4,44.0,0.26576511484367704
85,0.0,159.5,17.1,46.0,17.5,5.9,64.0,0.3774176808705344
86,0.0,170.8,5.2,94.0,49.4,8.4,54.0,0.319680047790972
87,0.0,219.6,9.2,4.0,2.6,58.8,58.0,0.3438067112939786
88,0.0,143.6,16.0,158.0,24.3,5.6,64.0,0.38071968039169285
89,0.0,244.5,5.6,253.0,48.6,5.3,64.0,0.3859974467985344
90,0.0,231.6,6.2,284.0,56.8,6.5,58.0,0.3455891761495694
91,0.0,157.9,5.9,61.0,58.7,7.8,78.0,0.4558739035736885
92,0.0,136.4,5.6,28.0,51.3,3.7,80.0,0.47025066889306394
93,0.0,177.1,10.0,220.0,76.8,3.1,54.0,0.32451359887103765
94,0.0,123.0,10.4,37.0,21.2,5.0,68.0,0.39578983440719645
95,0.0,203.5,17.6,108.0,37.2,2.8,42.0,0.25930182219960063
96,0.0,204.2,7.5,83.0,35.0,21.6,50.0,0.29196079137363
97,0.0,220.2,13.2,7.0,14.4,19.2,68.0,0.40686288709923235
98,0.0,144.5,10.6,184.0,56.0,3.4,52.0,0.3106009750404288
99,0.0,228.3,6.6,98.0,67.8,10.7,80.0,0.48739732144204
100,0.0,224.8,10.4,104.0,52.5,5.6,54.0,0.3251756719172124
101,0.0,253.3,13.4,203.0,51.5,3.3,70.0,0.43447268099839803
102,0.0,190.6,6.1,59.0,48.6,9.0,70.0,0.415712354080863
103,0.0,127.3,17.2,79.0,10.5,9.2,42.0,0.24958719938794743
104,0.0,245.4,10.0,50.0,14.2,16.4,68.0,0.40031099386734287
105,0.0,245.0,14.6,17.0,4.2,41.9,40.0,0.24342458858703597
106,0.0,186.9,5.1,21.0,28.7,27.4,76.0,0.44948978154130936
107,0.0,189.4,15.5,81.0,86.1,2.3,64.0,0.38230889457699196
108,0.0,146.2,6.9,114.0,38.2,6.4,44.0,0.26393606162835564
109,0.0,181.3,6.4,61.0,77.2,6.2,62.0,0.3602576903489418
110,0.0,138.3,18.0,143.0,19.0,4.2,36.0,0.21902311528787521
111,0.0,126.7,7.2,5.0,8.1,54.6,56.0,0.33058573393330254
112,0.0,251.8,5.9,76.0,11.1,26.2,72.0,0.4371707013205535
113,0.0,158.0,18.4,197.0,6.7,5.1,36.0,0.214727755428054
114,0.0,249.7,12.6,216.0,12.7,3.2,66.0,0.3995955058918812
115,0.0,207.0,11.2,28.0,11.9,38.3,68.0,0.40612847755573167
116,0.0,188.5,7.7,32.0,3.5,49.9,82.0,0.48527416498336057
117,0.0,220.4,10.2,291.0,4.6,3.9,56.0,0.3398627586766608
118,0.0,159.6,12.6,38.0,5.3,11.6,46.0,0.2752783362018106
119,0.0,206.2,8.0,14.0,8.9,14.4,60.0,0.35293960502731203
120,0.0,137.9,13.7,130.0,72.0,5.8,52.0,0.3089173083985144
121,0.0,225.9,8.7,46.0,8.1,28.4,70.0,0.425584202756937
122,0.0,180.8,12.2,24.0,6.0,41.7,34.0,0.20582824100246
123,0.0,218.0,8.2,177.0,82.1,6.1,50.0,0.29718881305032496
124,0.0,235.5,5.4,48.0,80.9,8.1,72.0,0.42745790639298964
125,0.0,145.8,7.3,94.0,56.0,14.8,50.0,0.29544450125090504
126,0.0,126.8,7.6,255.0,63.1,3.4,48.0,0.2825404474420224
127,0.0,134.3,5.7,152.0,20.5,3.1,62.0,0.36742947174050433
128,0.0,138.8,9.2,45.0,42.9,6.5,44.0,0.2569746018597296
129,0.0,195.4,7.4,11.0,27.3,19.6,76.0,0.45538474649485283
130,0.0,220.4,5.2,77.0,84.6,13.0,79.0,0.4646649368970301
131,0.0,253.0,13.6,37.0,11.1,25.6,60.0,0.36994753130012403
132,0.0,213.4,7.0,157.0,7.5,2.4,52.0,0.308550335228975
133,0.0,225.2,12.2,72.0,36.5,2.8,60.0,0.359597229447216
134,0.0,127.8,9.9,30.0,9.0,39.4,46.0,0.2783243017649848
135,0.0,107.8,8.5,156.0,57.0,3.3,78.0,0.4546105565801982
136,0.0,122.6,15.6,251.0,64.9,3.7,60.0,0.353837109443694
137,0.0,170.8,6.9,33.0,19.2,26.1,44.0,0.2646419772952736
138,0.0,147.6,7.6,38.0,69.1,6.9,82.0,0.48851314756327235
139,0.0,176.2,12.5,252.0,78.6,5.4,54.0,0.3223729488095298
140,0.0,234.7,11.0,327.0,72.0,7.1,62.0,0.3817580278179062
141,0.0,183.0,9.9,68.0,39.6,5.0,58.0,0.3447705818085336
142,0.0,164.6,10.0,81.0,4.4,8.2,52.0,0.310808254401528
143,0.0,174.2,11.8,8.0,56.5,2.1,82.0,0.4829468824751638
144,0.0,97.9,11.1,280.0,36.2,2.4,60.0,0.3512175410119744
145,0.0,178.0,16.5,145.0,83.5,3.0,52.0,0.31529216455548237
146,0.0,240.8,14.8,130.0,47.0,5.8,88.0,0.5336959415566064
147,0.0,210.8,16.9,180.0,21.6,6.4,74.0,0.46098511394547187
148,0.0,185.6,7.9,57.0,32.7,9.6,56.0,0.3355273045170088
149,0.0,199.7,8.4,16.0,2.7,33.7,38.0,0.22853062111948658
150,0.0,238.8,13.8,116.0,26.6,13.3,58.0,0.3590820926054772
151,0.0,148.7,6.4,76.0,1.4,7.1,58.0,0.33938791051914796
152,0.0,205.7,7.5,272.0,87.8,11.3,23.0,0.13687913145182828
153,0.0,215.6,11.0,67.0,28.2,11.3,62.0,0.369944840051521
154,0.0,221.8,5.7,117.0,27.4,12.2,56.0,0.33676637295882
155,0.0,236.0,10.8,90.0,83.3,5.8,74.0,0.44213109053768707
156,0.0,220.4,6.2,174.0,35.2,10.0,56.0,0.33841570978616803
157,0.0,226.2,17.8,215.0,6.0,4.0,42.0,0.2641649871863688
158,0.0,224.8,16.0,203.0,30.8,2.0,58.0,0.35530491095706207
159,0.0,120.0,10.0,107.0,82.8,8.4,50.0,0.29605740075425496
160,0.0,239.4,6.9,64.0,52.0,3.4,62.0,0.3725258727393585
161,0.0,211.2,11.3,46.0,9.1,15.6,60.0,0.361784398035642
162,0.0,238.2,19.2,38.0,3.2,3.9,62.0,0.3743131162531432
163,0.0,250.2,5.1,66.0,26.5,27.4,62.0,0.3728873348718392
164,0.0,217.0,16.1,34.0,18.0,7.8,56.0,0.3355969778264376
165,0.0,231.0,7.1,318.0,61.5,4.1,30.0,0.18273327622746902
166,0.0,158.0,5.4,262.0,29.8,3.6,72.0,0.42512092920527766
167,0.0,185.3,13.3,237.0,36.5,3.9,62.0,0.37903988154647816
168,0.0,214.0,10.9,69.0,53.0,5.7,72.0,0.4421788398964368
169,0.0,212.6,9.9,165.0,61.3,7.7,60.0,0.36228060370977594
170,0.0,205.7,8.7,203.0,79.8,3.4,48.0,0.2882564515000032
171,0.0,258.4,11.8,250.0,37.0,2.4,54.0,0.3330199742812884
172,0.0,207.3,11.5,276.0,67.5,5.2,52.0,0.3184928926626616
173,0.0,128.0,5.4,54.0,51.6,4.9,84.0,0.48878541617261156
174,0.0,167.6,12.9,60.0,32.4,6.2,48.0,0.2819781015928608
175,0.0,184.8,6.4,138.0,44.1,15.7,44.0,0.261987792134882
176,0.0,174.4,14.8,338.0,74.2,3.6,54.0,0.319563510481881
177,0.0,224.5,12.8,67.0,10.9,6.3,50.0,0.298209025166445
178,0.0,227.9,17.4,47.0,4.2,27.4,48.0,0.2905404158333904
179,0.0,207.4,17.1,185.0,34.9,2.8,58.0,0.35251964038713224
180,0.0,242.8,8.6,43.0,9.5,39.0,60.0,0.36531234715854
181,0.0,149.2,10.3,12.0,47.7,4.1,60.0,0.35364841558951826
182,0.0,220.6,10.4,101.0,27.8,11.1,48.0,0.2939449187491536
183,0.0,227.8,10.9,141.0,33.8,13.6,64.0,0.3924400780268928
184,0.0,241.6,5.6,14.0,4.0,66.6,78.0,0.4699215343280564
185,0.0,102.3,5.9,86.0,31.8,20.8,62.0,0.3673037631421856
186,0.0,228.1,7.6,256.0,16.3,2.3,58.0,0.35020051309638756
187,0.0,254.8,6.9,324.0,21.8,5.6,70.0,0.42367021678175604
188,0.0,136.1,7.0,48.0,14.6,6.0,80.0,0.473260290310616
189,0.0,145.4,17.7,260.0,15.9,3.3,34.0,0.20386819830808642
190,0.0,149.4,6.1,9.0,30.3,21.9,78.0,0.4584269666063645
191,0.0,127.2,12.3,117.0,31.4,4.7,34.0,0.20250546172144818
192,0.0,254.8,6.1,19.0,65.4,5.0,68.0,0.40431094233472165
193,0.0,163.6,7.8,203.0,1.3,2.9,70.0,0.42026710549860397
194,0.0,254.6,11.4,170.0,4.7,6.2,64.0,0.39249567428374404
195,0.0,226.1,14.4,116.0,51.5,4.1,64.0,0.3862889653313088
196,0.0,189.9,5.2,257.0,72.3,3.6,64.0,0.3836190629458752
197,0.0,257.9,6.1,153.0,62.6,8.4,46.0,0.2765814930186754
198,0.0,107.4,7.1,6.0,15.3,4.4,68.0,0.39968593257346124
199,0.0,208.4,6.6,69.0,28.8,16.3,72.0,0.4317906668299849
200,0.0,241.0,10.4,158.0,83.9,6.4,50.0,0.304583705099644
201,0.0,104.7,7.3,83.0,77.4,6.7,75.0,0.4436343040203624
202,0.0,236.0,5.9,74.0,36.0,20.2,67.0,0.403264446423438
203,0.0,235.0,7.5,188.0,77.3,6.2,60.0,0.361348050377274
204,0.0,126.4,12.6,163.0,19.3,4.5,45.0,0.26807397573770586
205,0.0,244.3,5.7,252.0,10.7,4.7,47.0,0.2816637843116846
206,0.0,167.6,12.8,204.0,18.9,5.0,50.0,0.3026923184208262
207,0.0,160.0,13.5,215.0,85.8,4.1,54.0,0.3225697061127578
208,0.0,255.6,7.8,163.0,57.5,10.4,36.0,0.21996341612745482
209,0.0,163.7,12.1,13.0,72.7,2.7,44.0,0.2573275571581528
210,0.0,181.9,12.3,119.0,13.8,3.6,46.0,0.2789741670441588
211,0.0,242.6,7.0,12.0,70.1,11.8,40.0,0.2370620899281
212,0.0,230.0,13.7,115.0,56.8,3.3,66.0,0.39923721608257734
213,0.0,202.1,10.7,292.0,17.2,3.0,50.0,0.30180578755734
214,0.0,100.7,6.4,40.0,76.4,12.1,90.0,0.532120897660509
215,0.0,244.0,5.1,10.0,14.8,40.6,102.0,0.6030428962756896
216,0.0,198.9,6.0,88.0,33.4,20.6,42.0,0.2527971939575082
217,0.0,235.8,8.3,319.0,36.8,5.0,42.0,0.25375864596816294
218,0.0,130.8,10.9,132.0,38.7,4.1,34.0,0.20178363258792623
219,0.0,193.4,7.2,25.0,4.0,12.6,46.0,0.2760861823220078
220,0.0,119.2,9.9,31.0,3.3,10.9,72.0,0.4281919581389616
221,0.0,161.6,8.1,22.0,60.5,3.7,84.0,0.4985470516577208
222,0.0,255.0,16.8,230.0,26.5,2.2,48.0,0.2968529776974576
223,0.0,136.2,16.6,64.0,24.5,8.0,52.0,0.3133936955970392
224,0.0,120.3,6.9,177.0,1.0,3.0,62.0,0.36576039991466436
225,0.0,210.4,7.2,9.0,48.3,14.7,54.0,0.3215747032466292
226,0.0,236.0,11.5,49.0,63.8,4.9,64.0,0.3867923085627714
227,0.0,139.7,6.1,219.0,88.7,5.8,48.0,0.28200999307441443
228,0.0,131.0,7.0,94.0,24.2,6.9,66.0,0.3886340331616778
229,0.0,196.6,6.6,123.0,42.3,6.8,66.0,0.3905954225540137
230,0.0,170.6,12.6,115.0,60.2,2.8,54.0,0.3178111880542716
231,0.0,173.0,10.5,59.0,11.3,10.7,54.0,0.31882620150947916
232,0.0,243.6,5.3,101.0,13.2,9.2,60.0,0.355341786482964
233,0.0,148.0,7.6,50.0,20.0,30.9,52.0,0.3077909392146004
234,0.0,166.6,7.3,18.0,2.9,115.2,40.0,0.240558548546828
235,0.0,212.6,11.4,254.0,47.6,7.0,64.0,0.38701743912046715
236,0.0,223.0,5.8,126.0,31.6,3.7,62.0,0.3720989622312214
237,0.0,219.2,17.5,9.0,24.9,2.1,56.0,0.3370199709087288
238,0.0,183.3,13.1,12.0,8.7,32.2,58.0,0.3413798312249058
239,0.0,229.2,11.7,109.0,25.7,4.7,58.0,0.3545231113859678
240,0.0,143.0,8.8,98.0,70.0,6.8,56.0,0.3322090836608432
241,0.0,215.9,7.9,32.0,23.8,6.6,52.0,0.30420343023819324
242,0.0,177.5,5.6,136.0,27.5,15.5,72.0,0.43358766724026715
243,0.0,109.3,11.5,142.0,66.8,5.9,50.0,0.29455661646165504
244,0.0,158.0,7.2,224.0,80.2,5.6,74.0,0.43361782776247637
245,0.0,174.2,8.3,18.0,1.0,73.2,60.0,0.36136075799759426
246,0.0,138.6,5.3,16.0,53.1,17.6,84.0,0.49227035991283075
247,0.0,238.4,10.4,35.0,5.2,42.9,56.0,0.34577274793097695
248,0.0,190.5,7.8,77.0,2.4,7.7,60.0,0.35692061309995804
249,0.0,253.9,7.6,261.0,60.4,11.5,54.0,0.32928669797285876
250,0.0,248.6,5.7,73.0,10.3,28.9,62.0,0.37432181696015737
251,0.0,125.4,6.0,15.0,84.2,7.2,100.0,0.58605597723287
252,0.0,158.0,13.9,214.0,60.1,4.4,50.0,0.29636480509091
253,0.0,177.1,10.6,8.0,4.6,66.9,66.0,0.3916349996061823
254,0.0,142.0,9.4,5.0,6.5,12.4,50.0,0.29362425398175496
255,0.0,176.4,7.9,35.0,10.4,26.8,42.0,0.2528997533550852
256,0.0,171.9,5.9,219.0,49.2,6.0,54.0,0.32188835546387284
257,0.0,129.0,8.5,178.0,44.4,2.2,54.0,0.3163167780790932
258,0.0,241.9,5.2,135.0,25.0,7.3,62.0,0.36727444351186095
259,0.0,132.9,11.7,23.0,3.4,17.5,48.0,0.2828802165458832
260,0.0,118.2,6.0,61.0,21.8,36.5,48.0,0.28295404795176476
261,0.0,243.5,12.4,8.0,52.0,4.3,46.0,0.2764503025559862
262,0.0,174.9,5.9,194.0,85.6,11.9,28.0,0.1680641094269452
263,0.0,135.7,15.5,39.0,71.7,4.4,66.0,0.3911747624621894
264,0.0,160.2,5.7,82.0,20.2,12.7,58.0,0.34070042228382585
265,0.0,99.8,10.2,34.0,22.9,21.3,50.0,0.29662541550149
266,0.0,101.8,6.1,85.0,79.4,3.3,96.0,0.5600799543498047
267,0.0,239.6,17.8,309.0,19.2,3.1,72.0,0.43931709305566563
268,0.0,252.8,16.0,65.0,89.6,2.8,38.0,0.2304757555962002
269,0.0,248.0,13.6,182.0,13.9,4.7,58.0,0.34594232833774996
270,0.0,227.5,7.8,350.0,47.0,6.2,68.0,0.41202620602151474
271,0.0,213.1,6.4,113.0,69.6,12.5,70.0,0.421636434680629
272,0.0,235.7,13.3,293.0,13.4,4.9,34.0,0.20711228406413476
273,0.0,246.7,9.8,146.0,11.1,4.8,54.0,0.32783204405448174
274,0.0,227.0,8.2,142.0,20.6,8.2,60.0,0.358208631678006
275,0.0,111.2,7.6,132.0,10.1,5.0,46.0,0.2729857914243958
276,0.0,132.5,7.4,331.0,76.8,3.5,70.0,0.415237644865498
277,0.0,255.1,5.7,34.0,49.1,12.4,62.0,0.3738438779701633
278,0.0,218.8,12.7,51.0,66.0,2.5,72.0,0.4306224020387761
279,0.0,247.7,18.5,83.0,5.9,4.1,46.0,0.2844874905035292
280,0.0,209.1,5.3,113.0,34.4,26.1,56.0,0.3405231575803176
281,0.0,169.2,14.2,205.0,35.4,4.1,48.0,0.28943087796605277
282,0.0,206.4,11.9,47.0,76.1,4.1,56.0,0.3331526108742553
283,0.0,206.6,11.4,63.0,20.5,19.5,56.0,0.34609773391703996
284,0.0,206.6,6.1,53.0,21.3,35.1,52.0,0.3122742124353072
285,0.0,177.3,15.2,339.0,16.7,3.3,26.0,0.1591319952771198
286,0.0,133.1,6.9,6.0,52.6,11.2,62.0,0.361535587078474
287,0.0,217.0,17.1,175.0,12.2,6.6,46.0,0.2785741411340108
288,0.0,233.1,8.9,39.0,15.0,35.0,42.0,0.2527415536831374
289,0.0,209.8,16.1,313.0,50.6,3.0,58.0,0.3572343361383897
290,0.0,147.7,5.1,41.0,31.0,26.7,62.0,0.369181542582366
291,0.0,236.9,7.8,264.0,89.1,9.8,68.0,0.41304275766285237
292,0.0,182.2,5.3,162.0,54.6,17.2,52.0,0.3117840256500112
293,0.0,141.4,14.6,52.0,30.8,10.1,60.0,0.3587941689831541
294,0.0,159.1,10.8,167.0,4.0,4.9,52.0,0.3078891684993592
295,0.0,101.8,13.0,170.0,48.4,3.8,42.0,0.2509104090816708
296,0.0,100.7,10.5,35.0,31.8,13.0,68.0,0.40555496172079003
297,0.0,173.5,14.9,267.0,57.2,3.2,44.0,0.2629734452065248
298,0.0,235.8,5.0,267.0,40.6,3.4,78.0,0.4700251061113686
299,0.0,229.3,6.5,235.0,54.3,7.2,56.0,0.3370941716949296
